entrezid1	entrezid2
4609	5704
4609	5682
4609	5664
4609	10942
4609	5635
4609	5634
4609	27166
4609	10935
4609	10084
4609	23082
4609	5494
4609	5481
4609	5471
4609	133522
4609	5464
4609	11232
4609	54107
4609	57804
4609	57645
4609	5395
4609	5378
4609	57125
4609	8985
4609	84069
4609	5331
4609	5325
4609	81579
4609	5586
4609	9780
4609	29085
4609	5217
4609	5210
4609	10471
4609	8504
4609	5187
4609	5138
4609	55795
4609	51585
4609	5093
4609	10606
4609	5036
4609	55644
4609	8473
4609	4953
4609	220323
4609	29107
4609	4927
4609	23636
4609	4914
4609	84284
4609	283869
4609	10360
4609	10528
4609	65083
4609	10392
4609	4830
4609	57486
4609	378884
4609	4792
4609	4784
4609	9603
4609	10725
4609	284086
4609	4726
4609	91942
4609	55226
4609	4673
4609	4665
4609	80155
4609	29104
4609	10608
4609	4522
4609	55167
4609	64976
4609	4357
4609	10200
4609	84315
4609	4335
4609	4289
4609	4242
4609	51320
4609	92312
4609	56339
4609	4234
4609	254042
4609	4233
4609	56257
4609	4221
4609	4209
4609	23195
4609	4193
4609	64087
4609	4154
4609	153364
4609	10982
4609	22919
4609	11183
4609	8491
4609	4217
4609	4122
4609	4074
4609	9450
4609	4055
4609	4047
4609	27257
4609	84894
4609	284573
4609	94059
4609	51176
4609	3939
4609	3916
4609	8270
4609	9903
4609	687
4609	3795
4609	10657
4609	23030
4609	56479
4609	23415
4609	3757
4609	644246
4609	284058
4609	3720
4609	10625
4609	3688
4609	3669
4609	3660
4609	3643
4609	3642
4609	54617
4609	3621
4609	3613
4609	3611
4609	3601
4609	10642
4609	7866
4609	10437
4609	3398
4609	3384
4609	100529241
4609	94086
4609	3312
4609	11077
4609	3291
4609	11234
4609	3239
4609	3213
4609	3202
4609	100133311
4609	3189
4609	3181
4609	664709
4609	6927
4609	3161
4609	3151
4609	3145
4609	7290
4609	3091
4609	3280
4609	9709
4609	3066
4609	26959
4609	3032
4609	2992
4609	9567
4609	2950
4609	2876
4609	2799
4609	2794
4609	28964
4609	2622
4609	92579
4609	8324
4609	2521
4609	2356
4609	22887
4609	2314
4609	51303
4609	60681
4609	24147
4609	2254
4609	2253
4609	114907
4609	54620
4609	10922
4609	2194
4609	10447
4609	80256
4609	27112
4609	3995
4609	56915
4609	2114
4609	2101
4609	2098
4609	1161
4609	7957
4609	80314
4609	2038
4609	2035
4609	58478
4609	2027
4609	2023
4609	2002
4609	56648
4609	1977
4609	1973
4609	27335
4609	8667
4609	8665
4609	1968
4609	10919
4609	9343
4609	10969
4609	1869
4609	10589
4609	8818
4609	8813
4609	1798
4609	1788
4609	22826
4609	55172
4609	9988
4609	8847
4609	1736
4609	79665
4609	55449
4609	79139
4609	11325
4609	1654
4609	8886
4609	1653
4609	1649
4609	1642
4609	1633
4609	1628
4609	1622
4609	26528
4609	51596
4609	8722
4609	1075
4609	1489
4609	1479
4609	29894
4609	80315
4609	64506
4609	118881
4609	10330
4609	9685
4609	1181
4609	10370
4609	1128
4609	1107
4609	10669
4609	10428
4609	79019
4609	1951
4609	10153
4609	1050
4609	51265
4609	1021
4609	8851
4609	8881
4609	8763
4609	9134
4609	894
4609	124093
4609	8030
4609	151903
4609	164592
4609	57332
4609	11335
4609	875
4609	257062
4609	841
4609	91768
4609	257169
4609	721
4609	720
4609	717
4609	127687
4609	284325
4609	144577
4609	83638
4609	118461
4609	55299
4609	6046
4609	675
4609	23246
4609	654483
4609	552900
4609	665
4609	664
4609	652
4609	8553
4609	168620
4609	57673
4609	602
4609	596
4609	586
4609	27113
4609	8704
4609	126792
4609	551
4609	4287
4609	25814
4609	533
4609	9474
4609	22863
4609	55729
4609	11016
4609	22926
4609	83858
4609	55210
4609	445
4609	253982
4609	411
4609	409
4609	10564
4609	382
4609	378
4609	375
4609	9716
4609	351
4609	328
4609	26985
4609	8905
4609	124930
4609	51005
4609	262
4609	56052
4609	226
4609	5832
4609	8574
4609	10327
4609	10142
4609	11215
4609	7965
4609	197
4609	79814
4609	116988
4609	132
4609	93
4609	71
4609	43
4609	31
4609	25841
4609	84696
4609	10257
4609	10058
4602	9659
4602	1465
4149	124626
4149	84133
4149	223082
4149	57169
4149	100289678
4149	51333
4149	64763
4149	84450
4149	100131213
4149	162979
4149	23036
4149	85416
4149	55063
4149	54877
4149	92092
4149	166793
4149	54915
4149	78992
4149	4904
4149	64328
4149	51352
4149	7490
4149	55135
4149	9559
4149	64601
4149	55823
4149	154807
4149	7425
4149	7417
4149	55697
4149	51096
4149	57602
4149	84669
4149	57478
4149	9960
4149	9099
4149	8615
4149	139596
4149	81622
4149	29128
4149	127733
4149	29855
4149	10277
4149	7320
